Brand,Item,Price,Category,Calories,Protein,Fat,Carbs,City,State,Month,Rating,Calories_per_rupees,Protein_per_rupees,Health_score
McDonalds,Mcsaver American Cheese Supreme - Chicken Meal,244.0,Chicken,615,15,20,42,Bhopal,Madhya Pradesh,March,4.6,2.5204918032786887,0.06147540983606557,-32
Burger King,Medium Fries,80.0,Fries,414,22,14,47,Bangalore,Karnataka,July,3.6,5.175,0.275,-17
KFC,Stay Home Bucket,749.0,Other,676,32,28,35,Ahmedabad,Gujarat,April,3.6,0.9025367156208278,0.042723631508678236,1
McDonalds,Mcsaver Mcspicy Chicken Meal,275.0,Chicken,270,12,33,37,Chandigarh,Punjab,October,3.8,0.9818181818181818,0.04363636363636364,-46
McDonalds,Mcsaver Chatpata Naan - Kebab Meal,190.0,Other,686,14,6,50,Noida,Uttar Pradesh,June,4.8,3.610526315789474,0.07368421052631578,-28
KFC,Pepsi Pet,60.0,Other,205,9,17,29,Noida,Uttar Pradesh,July,3.6,3.4166666666666665,0.15,-28
McDonalds,Fanta Large,88.0,Other,418,10,15,42,Jaipur,Rajasthan,July,4.1,4.75,0.11363636363636363,-37
Burger King,1 Fiery Chicken + Chicken Keema Fries + 1 Pepsi,347.0,Chicken,357,29,9,24,Hyderabad,Telangana,September,4.3,1.0288184438040346,0.08357348703170028,25
McDonalds,Mcchicken Happy Mea,196.0,Other,226,33,14,58,Bangalore,Karnataka,March,4.4,1.153061224489796,0.1683673469387755,-6
McDonalds,Masala Wedges Large,111.0,Other,213,31,21,61,Delhi,Delhi,September,4.6,1.9189189189189189,0.27927927927927926,-20
McDonalds,American Cheese Supreme - Veg Meal Large,250.0,Other,324,6,16,74,Pune,Maharashtra,November,4.2,1.296,0.024,-78
McDonalds,American Cheese Supreme - Veg Meal Large,250.0,Other,455,34,33,41,Bhopal,Madhya Pradesh,December,4.2,1.82,0.136,-6
McDonalds,Big Spicy Paneer Wrap Meal Regular,279.0,Other,550,12,23,38,Kolkata,West Bengal,August,3.6,1.971326164874552,0.043010752688172046,-37
KFC,4 Pc Hot Chicken Wings-Fries & Drink Meal,295.0,Chicken,515,18,35,66,Pune,Maharashtra,January,4.3,1.7457627118644068,0.061016949152542375,-65
McDonalds,Oreo Cookie & Cream Shake,192.0,Other,264,32,28,54,Hyderabad,Telangana,November,4.5,1.375,0.16666666666666666,-18
McDonalds,Mcsaver Veg Maharaja Mac Meal,299.0,Other,669,23,14,32,Jaipur,Rajasthan,November,4.2,2.237458193979933,0.07692307692307693,0
KFC,10 Pc Leg Piece Bucket & 4 Dips,699.0,Other,412,17,17,31,Bhopal,Madhya Pradesh,September,3.8,0.5894134477825465,0.024320457796852647,-14
Burger King,Strawberry Thick Shake,139.0,Other,396,22,30,59,Ahmedabad,Gujarat,January,3.8,2.8489208633093526,0.15827338129496402,-45
McDonalds,Fries Regular,62.0,Fries,504,5,38,20,Bangalore,Karnataka,October,3.9,8.129032258064516,0.08064516129032258,-48
McDonalds,Mcaloo Tikki Meal Medium,162.0,Other,364,34,28,32,Gurgaon,Haryana,September,4.6,2.246913580246914,0.20987654320987653,8
KFC,Mingles Bucket,299.0,Other,276,24,29,54,Mumbai,Maharashtra,January,4.2,0.9230769230769231,0.0802675585284281,-35
McDonalds,American Cheese Supreme - Veg Meal Large,250.0,Other,552,33,21,63,Hyderabad,Telangana,December,4.6,2.208,0.132,-18
KFC,Stay Home Bucket,749.0,Other,452,13,30,57,Kolkata,West Bengal,January,3.8,0.6034712950600801,0.017356475300400534,-61
KFC,Big 12,699.0,Other,304,34,25,29,Gurgaon,Haryana,April,4.7,0.43490701001430615,0.04864091559370529,14
McDonalds,Chicken Mcnuggets Piri Piri - 9 Pc,193.0,Chicken,258,25,35,51,Chennai,Tamil Nadu,March,4.2,1.3367875647668395,0.12953367875647667,-36
McDonalds,Chatpata Naan - Kebab Meal Regular,168.0,Other,409,17,21,52,Indore,Madhya Pradesh,December,4.5,2.4345238095238093,0.10119047619047619,-39
KFC,Veg Rice Bowl,150.0,Other,425,12,18,26,Mumbai,Maharashtra,October,4.0,2.8333333333333335,0.08,-20
KFC,Kfc Favorites,399.0,Other,256,11,18,27,Noida,Uttar Pradesh,May,4.5,0.6416040100250626,0.02756892230576441,-23
McDonalds,Veg Maharaja Mac Meal Large,323.0,Other,526,13,25,73,Bangalore,Karnataka,July,3.8,1.6284829721362228,0.04024767801857585,-72
McDonalds,Chicken Maharaja Mac Meal Large,333.0,Chicken,685,7,13,47,Mumbai,Maharashtra,December,4.8,2.057057057057057,0.021021021021021023,-46
McDonalds,Chicken Mcnuggets Piri Piri 6 Pcs Meal Large,296.0,Chicken,214,24,17,28,Ahmedabad,Gujarat,June,4.2,0.722972972972973,0.08108108108108109,3
McDonalds,Chicken Kebab Double Patty Burger,132.0,Chicken,429,11,10,44,Chennai,Tamil Nadu,October,4.6,3.25,0.08333333333333333,-32
McDonalds,Fanta Float,44.0,Other,451,17,10,53,Chennai,Tamil Nadu,July,3.7,10.25,0.38636363636363635,-29
McDonalds,Sharing Pack 2 Mckebab Chicken Burger,314.0,Chicken,387,23,8,57,Gurgaon,Haryana,May,4.0,1.232484076433121,0.0732484076433121,-19
McDonalds,Sharing Pack 2 Mcveggie,407.0,Other,452,15,8,33,Pune,Maharashtra,February,4.0,1.1105651105651106,0.036855036855036855,-11
McDonalds,Chicken Kebab Double Patty Burger,132.0,Chicken,592,30,31,51,Bhopal,Madhya Pradesh,October,4.2,4.484848484848484,0.22727272727272727,-22
McDonalds,American Cheese Supreme - Chicken Happy Meal,196.0,Chicken,695,15,9,49,Indore,Madhya Pradesh,April,4.5,3.545918367346939,0.07653061224489796,-28
Burger King,Chicken Masala Whopper,199.0,Chicken,524,6,25,46,Chandigarh,Punjab,April,4.5,2.6331658291457285,0.03015075376884422,-59
Burger King,Chicken Everyday Mean Combo For 2,358.0,Chicken,474,21,27,48,Jaipur,Rajasthan,May,3.7,1.324022346368715,0.05865921787709497,-33
McDonalds,Chicken Mcnuggets - 6 Pcs,137.0,Chicken,258,32,28,20,Mumbai,Maharashtra,December,4.4,1.8832116788321167,0.23357664233576642,16
McDonalds,Chocolate Shake,138.0,Other,212,29,14,50,Chennai,Tamil Nadu,November,4.6,1.536231884057971,0.21014492753623187,-6
McDonalds,Soft Serve Cone,23.0,Other,321,7,17,70,Bhopal,Madhya Pradesh,June,4.8,13.956521739130435,0.30434782608695654,-73
McDonalds,Chatpata Naan - Aloo,59.0,Other,606,15,34,45,Gurgaon,Haryana,September,4.7,10.271186440677965,0.2542372881355932,-49
Burger King,Cold Coffee,99.0,Other,416,17,26,71,Gurgaon,Haryana,April,4.6,4.202020202020202,0.1717171717171717,-63
KFC,4 Pc Hot & Crispy Chicken,380.0,Chicken,689,8,14,67,Chennai,Tamil Nadu,January,4.0,1.813157894736842,0.021052631578947368,-65
McDonalds,American Mud Pie,152.0,Other,494,13,39,77,Kolkata,West Bengal,May,4.2,3.25,0.08552631578947369,-90
Burger King,Chicken Kings Meal Combo For 4,745.0,Chicken,225,6,8,79,Ahmedabad,Gujarat,July,4.7,0.30201342281879195,0.008053691275167786,-75
Burger King,Chicken Keema Wrap,79.0,Chicken,665,8,26,29,Bangalore,Karnataka,February,4.5,8.417721518987342,0.10126582278481013,-39
McDonalds,Thums Up Regular,71.0,Other,231,16,40,43,Mumbai,Maharashtra,May,3.9,3.2535211267605635,0.22535211267605634,-51
McDonalds,2 Mcveggie + 2 American Cheese Supreme Veg + 2 Fries Large,647.0,Fries,521,31,29,30,Chandigarh,Punjab,August,4.5,0.8052550231839258,0.04791344667697063,3
McDonalds,Mexican Cheesy Fries,117.0,Fries,300,18,28,47,Chandigarh,Punjab,October,4.5,2.5641025641025643,0.15384615384615385,-39
McDonalds,Sharing Pack 3 Mcchicken,546.0,Other,540,18,38,63,Bangalore,Karnataka,January,4.7,0.989010989010989,0.03296703296703297,-65
McDonalds,Chicken Mcnuggets Piri Piri 9 Pcs Meal Medium,313.0,Chicken,524,10,39,58,Delhi,Delhi,July,4.8,1.6741214057507987,0.03194888178913738,-77
Burger King,Veg Double Whopper,199.0,Burger,213,32,19,33,Lucknow,Uttar Pradesh,April,4.5,1.07035175879397,0.16080402010050251,12
KFC,4 Pc Hot Chicken Wings-Fries & Drink Meal,295.0,Chicken,598,11,6,29,Jaipur,Rajasthan,June,4.5,2.0271186440677966,0.03728813559322034,-13
McDonalds,Masala Wedges Large Happy Meal,192.0,Other,275,18,23,61,Lucknow,Uttar Pradesh,February,4.4,1.4322916666666667,0.09375,-48
McDonalds,Chicken Kebab Burger Meal Large,215.0,Chicken,248,17,31,27,Noida,Uttar Pradesh,June,4.1,1.1534883720930234,0.07906976744186046,-24
Burger King,Chicken Kings Meal Combo For 4,745.0,Chicken,279,23,9,21,Chandigarh,Punjab,March,4.0,0.374496644295302,0.03087248322147651,16
KFC,6 Pc Chicken Boneless Strips,215.0,Chicken,536,22,32,66,Ahmedabad,Gujarat,April,3.8,2.4930232558139536,0.10232558139534884,-54
McDonalds,Mcchicken Meal Regular,207.0,Other,600,34,9,27,Ahmedabad,Gujarat,May,4.1,2.898550724637681,0.1642512077294686,32
KFC,Pepsi Pet,60.0,Other,640,6,14,63,Indore,Madhya Pradesh,April,4.2,10.666666666666666,0.1,-65
KFC,Large Popcorn With Medium Fries,299.0,Fries,425,33,10,46,Bhopal,Madhya Pradesh,March,4.4,1.4214046822742474,0.11036789297658862,10
KFC,Chicken Rice Bowl,150.0,Chicken,608,34,37,28,Gurgaon,Haryana,August,4.8,4.053333333333334,0.22666666666666666,3
McDonalds,Masala Wedges Small Happy Mea,126.0,Other,546,34,27,64,Bhopal,Madhya Pradesh,March,3.6,4.333333333333333,0.2698412698412698,-23
KFC,Mixed Zinger Burger Duo,309.0,Burger,517,8,32,27,Mumbai,Maharashtra,November,3.6,1.6731391585760518,0.025889967637540454,-43
McDonalds,Mcsaver Chatpata Naan - Aloo Meal,176.0,Other,263,8,33,71,Mumbai,Maharashtra,June,4.5,1.4943181818181819,0.045454545454545456,-88
Burger King,Chicken Masala Whopper,199.0,Chicken,427,17,37,26,Bhopal,Madhya Pradesh,October,4.3,2.1457286432160805,0.08542713567839195,-29
Burger King,Chicken Chilli Cheese…,129.0,Chicken,423,33,8,28,Indore,Madhya Pradesh,April,4.6,3.2790697674418605,0.2558139534883721,30
McDonalds,American Cheese Supreme - Veg Meal Large,250.0,Other,687,31,13,60,Delhi,Delhi,May,3.7,2.748,0.124,-11
McDonalds,Mcchicken Meal Large,250.0,Other,418,31,21,70,Delhi,Delhi,May,4.7,1.672,0.124,-29
McDonalds,American Cheese Supreme - Veg Meal Regular,207.0,Other,447,15,17,35,Noida,Uttar Pradesh,April,3.7,2.1594202898550723,0.07246376811594203,-22
McDonalds,Mcsaver Chatpata Naan - Aloo Meal,176.0,Other,549,33,34,68,Chennai,Tamil Nadu,April,4.5,3.1193181818181817,0.1875,-36
McDonalds,Mcchicken Burger,112.0,Burger,613,28,21,21,Chennai,Tamil Nadu,March,3.5,5.473214285714286,0.25,14
McDonalds,Chicken Mcnuggets - 6 Pcs,137.0,Chicken,369,11,25,34,Bhopal,Madhya Pradesh,August,4.5,2.6934306569343067,0.08029197080291971,-37
McDonalds,Chatpata Naan - Aloo,59.0,Other,573,13,15,37,Pune,Maharashtra,March,3.7,9.711864406779661,0.22033898305084745,-26
McDonalds,Mcsaver Filet-O-Fish Meal,271.0,Other,450,11,22,74,Bangalore,Karnataka,September,4.4,1.6605166051660516,0.04059040590405904,-74
McDonalds,Chicken Maharaja Mac,194.0,Chicken,657,34,27,68,Kolkata,West Bengal,August,4.2,3.38659793814433,0.17525773195876287,-27
KFC,5 Pc Leg Piece Bucket & 2 Dips,350.0,Other,690,19,37,41,Mumbai,Maharashtra,January,4.2,1.9714285714285715,0.054285714285714284,-40
McDonalds,Chicken Maharaja Mac Meal Large,333.0,Chicken,355,8,6,28,Hyderabad,Telangana,September,3.9,1.0660660660660661,0.024024024024024024,-18
McDonalds,Sharing Pack 2 Mckebab Chicken Burger,314.0,Chicken,509,11,32,68,Ahmedabad,Gujarat,January,4.0,1.6210191082802548,0.03503184713375796,-78
KFC,Veg Rice Bowl,150.0,Other,651,18,34,45,Noida,Uttar Pradesh,August,3.6,4.34,0.12,-43
McDonalds,Mcspicy Chicken Burger,159.0,Chicken,355,17,13,52,Pune,Maharashtra,October,4.0,2.2327044025157234,0.1069182389937107,-31
Burger King,Mutton Masala Whopper,259.0,Burger,344,19,14,73,Jaipur,Rajasthan,December,4.0,1.3281853281853282,0.07335907335907337,-49
McDonalds,Chicken Mcnuggets Piri Piri - 20 Pc,328.0,Chicken,248,20,16,48,Ahmedabad,Gujarat,July,4.5,0.7560975609756098,0.06097560975609756,-24
Burger King,Chicken Whopper,149.0,Chicken,441,18,20,29,Bangalore,Karnataka,December,3.9,2.959731543624161,0.12080536912751678,-13
McDonalds,Oreo Cookie & Cream Shake,192.0,Other,661,7,27,60,Ahmedabad,Gujarat,August,3.8,3.4427083333333335,0.036458333333333336,-73
KFC,Veg Zinger Burger,140.0,Burger,258,29,17,53,Bhopal,Madhya Pradesh,March,4.6,1.8428571428571427,0.20714285714285716,-12
KFC,6 Pc Chicken Boneless Strips,215.0,Chicken,617,21,6,39,Mumbai,Maharashtra,August,4.5,2.869767441860465,0.09767441860465116,-3
KFC,Classic Chicken Zinger Combo Large,325.0,Chicken,592,18,37,50,Noida,Uttar Pradesh,October,4.2,1.8215384615384616,0.055384615384615386,-51
KFC,Cheesy Chicken Zinger With Fries Combo,259.0,Chicken,485,17,29,50,Kolkata,West Bengal,July,4.6,1.8725868725868726,0.06563706563706563,-45
KFC,Veg Zinger & Fries Combo,225.0,Fries,200,29,8,70,Delhi,Delhi,July,3.7,0.8888888888888888,0.1288888888888889,-20
McDonalds,Mexican Cheesy Fries,117.0,Fries,660,16,12,56,Ahmedabad,Gujarat,December,4.3,5.641025641025641,0.13675213675213677,-36
KFC,Pack Of 4 Dips,90.0,Other,294,10,8,78,Bangalore,Karnataka,July,4.2,3.2666666666666666,0.1111111111111111,-66
McDonalds,Mexican Cheesy Fries,117.0,Fries,608,26,18,56,Jaipur,Rajasthan,November,4.1,5.196581196581197,0.2222222222222222,-22
McDonalds,2 Mcspicy Chicken + 2 Fries Large + 2 Chocolate Shakes,845.0,Chicken,436,27,11,21,Indore,Madhya Pradesh,July,3.7,0.5159763313609468,0.03195266272189349,22
KFC,Veg Zinger-Fries & Drinks Meal,285.0,Fries,360,28,40,65,Kolkata,West Bengal,April,4.5,1.263157894736842,0.09824561403508772,-49
McDonalds,Mcspicy Paneer Meal Large,289.0,Other,472,8,6,28,Noida,Uttar Pradesh,June,4.8,1.6332179930795847,0.02768166089965398,-18
McDonalds,Mccafe-Mocha Frappe Regular,216.0,Other,245,12,34,70,Delhi,Delhi,August,4.6,1.1342592592592593,0.05555555555555555,-80
KFC,Buddy Meal,450.0,Other,667,17,10,32,Pune,Maharashtra,February,3.7,1.4822222222222223,0.03777777777777778,-8
Burger King,"U Wont Stop At 1, We Bet.",149.0,Other,533,30,40,55,Ahmedabad,Gujarat,September,4.0,3.577181208053691,0.20134228187919462,-35
Burger King,Medium Fries,80.0,Fries,532,12,15,66,Mumbai,Maharashtra,April,4.8,6.65,0.15,-57
Burger King,Chicken Masala Whopper,199.0,Chicken,552,14,30,33,Chandigarh,Punjab,February,4.3,2.7738693467336684,0.07035175879396985,-35
KFC,Chizza Feast,479.0,Other,458,18,13,27,Mumbai,Maharashtra,April,4.0,0.9561586638830898,0.037578288100208766,-4
McDonalds,Fanta Float,44.0,Other,333,10,11,25,Kolkata,West Bengal,February,4.6,7.568181818181818,0.22727272727272727,-16
McDonalds,Masala Wedges Regular,43.0,Other,207,29,6,79,Lucknow,Uttar Pradesh,January,4.7,4.813953488372093,0.6744186046511628,-27
McDonalds,Coke Medium,77.0,Beverage,257,34,11,56,Indore,Madhya Pradesh,January,4.3,3.3376623376623376,0.44155844155844154,1
Burger King,Chicken Kings Meal Combo For 4,745.0,Chicken,325,27,17,72,Chandigarh,Punjab,May,4.3,0.436241610738255,0.036241610738255034,-35
Burger King,Fiery Chicken Combo - King,328.0,Chicken,325,20,11,56,Gurgaon,Haryana,March,4.3,0.9908536585365854,0.06097560975609756,-27
McDonalds,2 American Cheese Supreme Veg + 2 Veg Pizza Mcpuff + 2 Fries Large + Coke Medium,550.0,Fries,296,7,28,66,Lucknow,Uttar Pradesh,November,4.5,0.5381818181818182,0.012727272727272728,-80
McDonalds,Chicken Maharaja Mac,194.0,Chicken,626,26,37,56,Ahmedabad,Gujarat,November,3.9,3.2268041237113403,0.13402061855670103,-41
Burger King,Veg Kings Meal Combo For 4,665.0,Other,692,18,33,59,Bhopal,Madhya Pradesh,February,4.3,1.0406015037593985,0.02706766917293233,-56
KFC,Popcorn Rice Duo,210.0,Other,468,10,8,80,Bangalore,Karnataka,March,4.1,2.2285714285714286,0.047619047619047616,-68
McDonalds,Mcspicy Chicken + American Cheese Supreme + Mcchicken + Chicken Maharaja + 3 Fries Large,913.0,Chicken,477,24,8,62,Chandigarh,Punjab,July,4.2,0.5224534501642936,0.02628696604600219,-22
Burger King,Paneer King’S Melt,129.0,Other,608,18,35,21,Bhopal,Madhya Pradesh,September,4.5,4.713178294573644,0.13953488372093023,-20
Burger King,Chicken Feast Combo For 3,615.0,Chicken,621,13,33,80,Hyderabad,Telangana,September,3.6,1.0097560975609756,0.02113821138211382,-87
McDonalds,Coke Regular,71.0,Beverage,626,28,16,70,Jaipur,Rajasthan,August,4.6,8.816901408450704,0.39436619718309857,-30
McDonalds,Chicken Mcwings - 4 Pcs,128.0,Chicken,519,8,16,68,Gurgaon,Haryana,September,4.7,4.0546875,0.0625,-68
Burger King,Chicken Keema Fries,129.0,Chicken,201,20,10,79,Hyderabad,Telangana,August,4.1,1.558139534883721,0.15503875968992248,-49
McDonalds,Mcchicken Burger,112.0,Burger,538,33,39,33,Bangalore,Karnataka,September,4.6,4.803571428571429,0.29464285714285715,-6
McDonalds,Fanta Medium,71.0,Other,415,32,38,57,Gurgaon,Haryana,March,3.9,5.845070422535211,0.4507042253521127,-31
